Age,Male,Female
0,402600,387100
1,394000,377600
2,392000,375700
3,398700,380900
4,387200,371000
5,384300,366500
6,381800,364900
7,367000,350800
8,368800,351900
9,368600,352000
10,374400,358400
11,377400,360700
12,364400,346300
13,336300,320400
14,331500,314800
15,346600,329900
16,361800,343600
17,373600,356000
18,399500,380300
19,423400,404700
20,437300,429100
21,435900,425200
22,449900,443400
23,453100,448600
24,465400,460300
25,465900,469000
26,476400,478800
27,475300,477700
28,465100,469100
29,454100,458900
30,449800,447400
31,429800,428900
32,415300,421500
33,406400,413300
34,394000,401100
35,386100,386600
36,374000,375200
37,379100,380900
38,376500,379000
39,368300,372800
40,378600,378900
41,388100,390800
42,401900,403800
43,428200,431300
44,468800,468800
45,366500,366800
46,361000,361900
47,364600,364000
48,346700,346700
49,317700,317700
50,293200,294400
51,310000,311100
52,312200,315000
53,310500,312300
54,304600,306400
55,298900,302500
56,293000,296000
57,283400,288100
58,281200,289100
59,288300,296700
60,289700,304400
61,283400,305000
62,276100,298300
63,270500,294200
64,270300,296400
65,271100,299200
66,260900,296400
67,255200,297100
68,248900,297700
69,253500,307600
70,253900,318500
71,254800,327800
72,164300,219600
73,149900,207300
74,159400,224000
75,161100,234500
76,159200,242200
77,149500,235000
78,136300,220300
79,121400,205900
80,107000,192900
81,96200,182000
82,84000,168600
83,72000,154300
84,59600,136500
85,48800,120900
86,40500,106700
87,32100,91000
88,25200,77300
89,19200,63900
>90,46300,201500
